SysTime,Real_UAV_X,Real_UAV_Y,Real_UAV_Z,Real_Boat_X,Real_Boat_Y,Real_Boat_Z,Real_UAV_VZ,Real_Boat_VZ
1.77485e+09,0.648418,15.7513,1.57513,2.64094,15.8457,0.393847,-2.18997,-1.0948e-05
1.77485e+09,0.647344,15.7897,1.54886,2.64311,15.8587,0.393847,-2.18746,-1.0948e-05
1.77485e+09,0.647759,15.8375,1.51607,2.64519,15.8711,0.393847,-2.18439,-1.0948e-05
1.77485e+09,0.649124,15.8693,1.49424,2.64722,15.8833,0.393847,-2.18232,-1.0948e-05
1.77485e+09,0.652809,15.9167,1.46153,2.64933,15.896,0.393847,-2.17918,-1.0948e-05
1.77485e+09,0.652809,15.9167,1.46153,2.65147,15.9088,0.361161,-2.17918,-1.25102e-05
1.77485e+09,0.66386,15.9984,1.40494,2.65408,15.9245,0.361161,-2.17359,-1.25102e-05
1.77485e+09,0.672921,16.0452,1.37236,2.65632,15.9379,0.361161,-2.17051,-1.25102e-05
1.77485e+09,0.68005,16.0762,1.35067,2.65841,15.9504,0.361161,-2.16857,-1.25102e-05
1.77485e+09,0.692365,16.1224,1.31816,2.66041,15.9625,0.361161,-2.16587,-1.25102e-05
1.77485e+09,0.70165,16.153,1.29651,2.66245,15.9747,0.36116,-2.1642,-1.25102e-05
1.77485e+09,0.704602,16.1622,1.29002,2.66471,15.9883,0.36116,-2.16371,-1.25102e-05
1.77485e+09,0.733377,16.241,1.23382,2.66704,16.0022,0.324774,-2.15956,-1.39286e-05
1.77485e+09,0.749884,16.2799,1.20575,2.66932,16.0159,0.324773,-2.15757,-1.39286e-05
1.77485e+09,0.766355,16.3155,1.17987,2.67144,16.0286,0.324773,-2.15569,-1.39286e-05
1.77485e+09,0.788584,16.3597,1.14756,2.67355,16.0413,0.324773,-2.15315,-1.39286e-05
1.77485e+09,0.8093,16.3975,1.11958,2.67595,16.0557,0.324773,-2.15072,-1.39286e-05
1.77485e+09,0.812605,16.4033,1.11528,2.67832,16.0699,0.324773,-2.15033,-1.39286e-05
1.77485e+09,0.862113,16.4834,1.05516,2.68085,16.0851,0.324773,-2.14349,-1.39286e-05
1.77485e+09,0.885141,16.5171,1.02946,2.68306,16.0984,0.285391,-2.13997,-1.52074e-05
1.77485e+09,0.911278,16.5531,1.00167,2.68514,16.1108,0.285391,-2.13584,-1.52074e-05
1.77485e+09,0.936476,16.586,0.976062,2.68719,16.1231,0.285391,-2.1316,-1.52074e-05
1.77485e+09,0.969378,16.6265,0.944132,2.68933,16.136,0.28539,-2.12558,-1.52074e-05
1.77485e+09,0.992156,16.6531,0.922899,2.69147,16.1488,0.28539,-2.12101,-1.52074e-05
1.77485e+09,1.03479,16.7001,0.884804,2.6939,16.1634,0.28539,-2.11145,-1.52074e-05
1.77485e+09,1.06433,16.7309,0.859511,2.69609,16.1766,0.28539,-2.10394,-1.52074e-05
1.77485e+09,1.09729,16.7636,0.832219,2.69819,16.1891,0.28539,-2.0945,-1.52074e-05
1.77485e+09,1.12857,16.7933,0.807144,2.70025,16.2015,0.242986,-2.08453,-1.62708e-05
1.77485e+09,1.16334,16.8249,0.780123,2.70235,16.2141,0.242986,-2.07233,-1.62708e-05
1.77485e+09,1.19619,16.8534,0.755329,2.70447,16.2268,0.242985,-2.05973,-1.62708e-05
